epoch,accuracy,loss,val_accuracy,val_loss
0,0.8568682670593262,0.3181229531764984,0.8806830644607544,0.2850530743598938
1,0.8591601252555847,0.3118336796760559,0.87968510389328,0.27632468938827515
2,0.8548721075057983,0.31187301874160767,0.8790197372436523,0.27270737290382385
3,0.858864426612854,0.3032086193561554,0.9177201390266418,0.26973164081573486
4,0.8576815128326416,0.30416953563690186,0.8825681805610657,0.2648901641368866
5,0.8604169487953186,0.30023738741874695,0.9197161197662354,0.26212626695632935
6,0.8595297932624817,0.29657769203186035,0.9214903712272644,0.25647446513175964
7,0.8599733710289001,0.29523465037345886,0.9179418683052063,0.2624347507953644
8,0.8605648279190063,0.2935102880001068,0.9235972762107849,0.2524377703666687
9,0.8727635741233826,0.2918548285961151,0.9254823923110962,0.24827493727207184
10,0.8911725282669067,0.2957998216152191,0.9261476993560791,0.24854722619056702
11,0.8936862349510193,0.2926011383533478,0.9241517186164856,0.24898290634155273
12,0.8924294114112854,0.2991199791431427,0.9265912771224976,0.2553696930408478
13,0.8951648473739624,0.2913305163383484,0.9260368347167969,0.24688494205474854
14,0.8942776918411255,0.2936607301235199,0.9271457195281982,0.24566546082496643
15,0.8920597434043884,0.2950330376625061,0.9220448136329651,0.24879029393196106
16,0.89398193359375,0.29033163189888,0.9254823923110962,0.2456323504447937
17,0.8916900753974915,0.29357731342315674,0.9240407943725586,0.24639154970645905
18,0.8944994807243347,0.2880673408508301,0.9187180995941162,0.25162816047668457
19,0.8861451745033264,0.2991158068180084,0.9191616773605347,0.252231627702713
20,0.8874759674072266,0.29616686701774597,0.9199379086494446,0.24736881256103516
21,0.8885110020637512,0.29571765661239624,0.9208250045776367,0.24857525527477264
22,0.8917639851570129,0.2875201404094696,0.9232645630836487,0.24443256855010986
23,0.8887327909469604,0.2962070107460022,0.9262586236000061,0.23943302035331726
24,0.8922076225280762,0.2950375974178314,0.9259259104728699,0.24066849052906036
25,0.8909507393836975,0.29509997367858887,0.9275892376899719,0.2401144653558731
26,0.8939080238342285,0.2867008447647095,0.9274783730506897,0.2396022081375122
27,0.8948691487312317,0.28763410449028015,0.9281437397003174,0.237497478723526
28,0.8954606056213379,0.28771504759788513,0.9051896333694458,0.2914412319660187
29,0.8862930536270142,0.31340253353118896,0.929474413394928,0.23607859015464783
30,0.8771255612373352,0.28837183117866516,0.9261476993560791,0.23808635771274567
31,0.8743900656700134,0.2842683792114258,0.9055222868919373,0.2367733269929886
32,0.8756468892097473,0.28133583068847656,0.9058549404144287,0.23584087193012238
33,0.8735029101371765,0.28390565514564514,0.9061876535415649,0.2333664447069168
34,0.8720242381095886,0.2892109155654907,0.905411422252655,0.23734675347805023
35,0.8749076128005981,0.2843674123287201,0.9045242667198181,0.23491598665714264
36,0.8737986087799072,0.2856869101524353,0.9051896333694458,0.22916820645332336
37,0.8736507296562195,0.2765503227710724,0.9039698243141174,0.23118890821933746
38,0.8711370825767517,0.28192567825317383,0.9046351909637451,0.2305660992860794
39,0.8664054274559021,0.2821090817451477,0.9056331515312195,0.23001471161842346
40,0.8720982074737549,0.27430644631385803,0.8912175893783569,0.23244033753871918
41,0.8718763589859009,0.27754250168800354,0.9234863519668579,0.23350827395915985
42,0.8751294016838074,0.2753526568412781,0.9059658646583557,0.23121532797813416
43,0.8666272163391113,0.2825785279273987,0.9283654689788818,0.23800140619277954
44,0.8794913291931152,0.27562132477760315,0.9296961426734924,0.23036205768585205
45,0.8789738416671753,0.2698719799518585,0.931026816368103,0.22580599784851074
46,0.8720982074737549,0.2732674479484558,0.9050787091255188,0.23150871694087982
47,0.873207151889801,0.27051740884780884,0.8868928551673889,0.23292049765586853
48,0.8693627119064331,0.26957952976226807,0.9296961426734924,0.22894775867462158
49,0.8948691487312317,0.2677113711833954,0.9298070669174194,0.22845809161663055
